#Digilent WaveForms Oscilloscope Acquisition,,,,,,,,,,
#Device Name: Discovery2,,,,,,,,,,
#Serial Number: SN:210321A35E99,,,,,,,,,,
#Date Time: 2024-12-02 09:22:30.457,,,,,,,,,,
#Sample rate: 5000Hz,,,,,,,,,,
#Samples: 25000,,,,,,,,,,
#Channel 1: Range: 500 mV/div Offset: -2 V Sample Mode: Average,,,,,,,,,,
,,,,,,,,,,
Time (s),EXP11,EXP12,EXP13,EXP14,EXP15,EXP21,EXP22,EXP23,EXP24,EXP25
4.4018,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.402,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4022,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4024,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4026,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4028,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.403,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4032,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4034,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4036,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4038,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.404,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4042,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4044,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4046,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4048,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.405,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
